Series ID,Year,Period,Label,Value,1-Month Net Change
CUSR0000SA0,2010,M01,2010 Jan,217.488,N/A
CUSR0000SA0,2010,M02,2010 Feb,217.281,N/A
CUSR0000SA0,2010,M03,2010 Mar,217.353,N/A
CUSR0000SA0,2010,M04,2010 Apr,217.403,N/A
CUSR0000SA0,2010,M05,2010 May,217.290,N/A
CUSR0000SA0,2010,M06,2010 Jun,217.199,N/A
CUSR0000SA0,2010,M07,2010 Jul,217.605,N/A
CUSR0000SA0,2010,M08,2010 Aug,217.923,N/A
CUSR0000SA0,2010,M09,2010 Sep,218.275,N/A
CUSR0000SA0,2010,M10,2010 Oct,219.035,N/A
CUSR0000SA0,2010,M11,2010 Nov,219.590,N/A
CUSR0000SA0,2010,M12,2010 Dec,220.472,N/A
CUSR0000SA0,2011,M01,2011 Jan,221.187,N/A
CUSR0000SA0,2011,M02,2011 Feb,221.898,N/A
CUSR0000SA0,2011,M03,2011 Mar,223.046,N/A
CUSR0000SA0,2011,M04,2011 Apr,224.093,N/A
CUSR0000SA0,2011,M05,2011 May,224.806,N/A
CUSR0000SA0,2011,M06,2011 Jun,224.806,N/A
CUSR0000SA0,2011,M07,2011 Jul,225.395,N/A
CUSR0000SA0,2011,M08,2011 Aug,226.106,N/A
CUSR0000SA0,2011,M09,2011 Sep,226.597,N/A
CUSR0000SA0,2011,M10,2011 Oct,226.750,N/A
CUSR0000SA0,2011,M11,2011 Nov,227.169,N/A
CUSR0000SA0,2011,M12,2011 Dec,227.223,N/A
CUSR0000SA0,2012,M01,2012 Jan,227.842,N/A
CUSR0000SA0,2012,M02,2012 Feb,228.329,N/A
CUSR0000SA0,2012,M03,2012 Mar,228.807,N/A
CUSR0000SA0,2012,M04,2012 Apr,229.187,N/A
CUSR0000SA0,2012,M05,2012 May,228.713,N/A
CUSR0000SA0,2012,M06,2012 Jun,228.524,N/A
CUSR0000SA0,2012,M07,2012 Jul,228.590,N/A
CUSR0000SA0,2012,M08,2012 Aug,229.918,N/A
CUSR0000SA0,2012,M09,2012 Sep,231.015,N/A
CUSR0000SA0,2012,M10,2012 Oct,231.638,N/A
CUSR0000SA0,2012,M11,2012 Nov,231.249,N/A
CUSR0000SA0,2012,M12,2012 Dec,231.221,N/A
CUSR0000SA0,2013,M01,2013 Jan,231.679,N/A
CUSR0000SA0,2013,M02,2013 Feb,232.937,N/A
CUSR0000SA0,2013,M03,2013 Mar,232.282,N/A
CUSR0000SA0,2013,M04,2013 Apr,231.797,N/A
CUSR0000SA0,2013,M05,2013 May,231.893,N/A
CUSR0000SA0,2013,M06,2013 Jun,232.445,N/A
CUSR0000SA0,2013,M07,2013 Jul,232.900,N/A
CUSR0000SA0,2013,M08,2013 Aug,233.456,N/A
CUSR0000SA0,2013,M09,2013 Sep,233.544,N/A
CUSR0000SA0,2013,M10,2013 Oct,233.669,N/A
CUSR0000SA0,2013,M11,2013 Nov,234.100,N/A
CUSR0000SA0,2013,M12,2013 Dec,234.719,N/A
CUSR0000SA0,2014,M01,2014 Jan,235.288,N/A
CUSR0000SA0,2014,M02,2014 Feb,235.547,N/A
CUSR0000SA0,2014,M03,2014 Mar,236.028,N/A
CUSR0000SA0,2014,M04,2014 Apr,236.468,N/A
CUSR0000SA0,2014,M05,2014 May,236.918,N/A
CUSR0000SA0,2014,M06,2014 Jun,237.231,N/A
CUSR0000SA0,2014,M07,2014 Jul,237.498,N/A
CUSR0000SA0,2014,M08,2014 Aug,237.460,N/A
CUSR0000SA0,2014,M09,2014 Sep,237.477,N/A
CUSR0000SA0,2014,M10,2014 Oct,237.430,N/A
CUSR0000SA0,2014,M11,2014 Nov,236.983,N/A
CUSR0000SA0,2014,M12,2014 Dec,236.252,N/A
CUSR0000SA0,2015,M01,2015 Jan,234.747,N/A
CUSR0000SA0,2015,M02,2015 Feb,235.342,N/A
CUSR0000SA0,2015,M03,2015 Mar,235.976,N/A
CUSR0000SA0,2015,M04,2015 Apr,236.222,N/A
CUSR0000SA0,2015,M05,2015 May,237.001,N/A
CUSR0000SA0,2015,M06,2015 Jun,237.657,N/A
CUSR0000SA0,2015,M07,2015 Jul,238.034,N/A
CUSR0000SA0,2015,M08,2015 Aug,238.033,N/A
CUSR0000SA0,2015,M09,2015 Sep,237.498,N/A
CUSR0000SA0,2015,M10,2015 Oct,237.733,N/A
CUSR0000SA0,2015,M11,2015 Nov,238.017,N/A
CUSR0000SA0,2015,M12,2015 Dec,237.761,N/A
CUSR0000SA0,2016,M01,2016 Jan,237.652,N/A
CUSR0000SA0,2016,M02,2016 Feb,237.336,N/A
CUSR0000SA0,2016,M03,2016 Mar,238.080,N/A
CUSR0000SA0,2016,M04,2016 Apr,238.992,N/A
CUSR0000SA0,2016,M05,2016 May,239.557,N/A
CUSR0000SA0,2016,M06,2016 Jun,240.222,N/A
CUSR0000SA0,2016,M07,2016 Jul,240.101,N/A
CUSR0000SA0,2016,M08,2016 Aug,240.545,N/A
CUSR0000SA0,2016,M09,2016 Sep,241.176,N/A
CUSR0000SA0,2016,M10,2016 Oct,241.741,N/A
CUSR0000SA0,2016,M11,2016 Nov,242.026,N/A
CUSR0000SA0,2016,M12,2016 Dec,242.637,N/A
CUSR0000SA0,2017,M01,2017 Jan,243.618,N/A
CUSR0000SA0,2017,M02,2017 Feb,244.006,N/A
CUSR0000SA0,2017,M03,2017 Mar,243.892,N/A
CUSR0000SA0,2017,M04,2017 Apr,244.193,N/A
CUSR0000SA0,2017,M05,2017 May,244.004,N/A
CUSR0000SA0,2017,M06,2017 Jun,244.163,N/A
CUSR0000SA0,2017,M07,2017 Jul,244.243,N/A
CUSR0000SA0,2017,M08,2017 Aug,245.183,N/A
CUSR0000SA0,2017,M09,2017 Sep,246.435,N/A
CUSR0000SA0,2017,M10,2017 Oct,246.626,N/A
CUSR0000SA0,2017,M11,2017 Nov,247.284,N/A
CUSR0000SA0,2017,M12,2017 Dec,247.805,N/A
CUSR0000SA0,2018,M01,2018 Jan,248.859,N/A
CUSR0000SA0,2018,M02,2018 Feb,249.529,N/A
CUSR0000SA0,2018,M03,2018 Mar,249.577,N/A
CUSR0000SA0,2018,M04,2018 Apr,250.227,N/A
CUSR0000SA0,2018,M05,2018 May,250.792,N/A
CUSR0000SA0,2018,M06,2018 Jun,251.018,N/A
CUSR0000SA0,2018,M07,2018 Jul,251.214,N/A
CUSR0000SA0,2018,M08,2018 Aug,251.663,N/A
CUSR0000SA0,2018,M09,2018 Sep,252.182,N/A
CUSR0000SA0,2018,M10,2018 Oct,252.772,N/A
CUSR0000SA0,2018,M11,2018 Nov,252.594,N/A
CUSR0000SA0,2018,M12,2018 Dec,252.767,N/A
CUSR0000SA0,2019,M01,2019 Jan,252.561,N/A
CUSR0000SA0,2019,M02,2019 Feb,253.319,N/A
CUSR0000SA0,2019,M03,2019 Mar,254.277,N/A
CUSR0000SA0,2019,M04,2019 Apr,255.233,N/A
CUSR0000SA0,2019,M05,2019 May,255.296,N/A
CUSR0000SA0,2019,M06,2019 Jun,255.213,N/A
CUSR0000SA0,2019,M07,2019 Jul,255.802,N/A
CUSR0000SA0,2019,M08,2019 Aug,256.036,N/A
CUSR0000SA0,2019,M09,2019 Sep,256.430,N/A
CUSR0000SA0,2019,M10,2019 Oct,257.155,N/A
CUSR0000SA0,2019,M11,2019 Nov,257.879,N/A
CUSR0000SA0,2019,M12,2019 Dec,258.630,N/A
CUSR0000SA0,2020,M01,2020 Jan,259.127,N/A
CUSR0000SA0,2020,M02,2020 Feb,259.250,N/A
CUSR0000SA0,2020,M03,2020 Mar,258.076,N/A
CUSR0000SA0,2020,M04,2020 Apr,256.032,N/A
CUSR0000SA0,2020,M05,2020 May,255.802,N/A
CUSR0000SA0,2020,M06,2020 Jun,257.042,N/A
CUSR0000SA0,2020,M07,2020 Jul,258.352,N/A
CUSR0000SA0,2020,M08,2020 Aug,259.316,N/A
CUSR0000SA0,2020,M09,2020 Sep,259.997,N/A
CUSR0000SA0,2020,M10,2020 Oct,260.319,N/A
CUSR0000SA0,2020,M11,2020 Nov,260.911,N/A
CUSR0000SA0,2020,M12,2020 Dec,262.045,N/A
CUSR0000SA0,2021,M01,2021 Jan,262.639,N/A
CUSR0000SA0,2021,M02,2021 Feb,263.573,N/A
CUSR0000SA0,2021,M03,2021 Mar,264.847,N/A
CUSR0000SA0,2021,M04,2021 Apr,266.625,N/A
CUSR0000SA0,2021,M05,2021 May,268.404,N/A
CUSR0000SA0,2021,M06,2021 Jun,270.710,N/A
CUSR0000SA0,2021,M07,2021 Jul,271.965,N/A
CUSR0000SA0,2021,M08,2021 Aug,272.752,N/A
CUSR0000SA0,2021,M09,2021 Sep,273.942,N/A
CUSR0000SA0,2021,M10,2021 Oct,276.528,N/A
CUSR0000SA0,2021,M11,2021 Nov,278.824,N/A
CUSR0000SA0,2021,M12,2021 Dec,280.806,N/A
CUSR0000SA0,2022,M01,2022 Jan,282.542,N/A
CUSR0000SA0,2022,M02,2022 Feb,284.525,N/A
CUSR0000SA0,2022,M03,2022 Mar,287.467,N/A
CUSR0000SA0,2022,M04,2022 Apr,288.582,N/A
CUSR0000SA0,2022,M05,2022 May,291.299,N/A
CUSR0000SA0,2022,M06,2022 Jun,295.072,N/A
CUSR0000SA0,2022,M07,2022 Jul,294.940,N/A
CUSR0000SA0,2022,M08,2022 Aug,295.162,N/A
CUSR0000SA0,2022,M09,2022 Sep,296.421,N/A
CUSR0000SA0,2022,M10,2022 Oct,297.979,N/A
CUSR0000SA0,2022,M11,2022 Nov,298.708,N/A
CUSR0000SA0,2022,M12,2022 Dec,298.808,N/A
CUSR0000SA0,2023,M01,2023 Jan,300.456,N/A
CUSR0000SA0,2023,M02,2023 Feb,301.476,N/A
CUSR0000SA0,2023,M03,2023 Mar,301.643,N/A
CUSR0000SA0,2023,M04,2023 Apr,302.858,N/A
CUSR0000SA0,2023,M05,2023 May,303.316,N/A
CUSR0000SA0,2023,M06,2023 Jun,304.099,N/A
CUSR0000SA0,2023,M07,2023 Jul,304.615,N/A
CUSR0000SA0,2023,M08,2023 Aug,306.138,N/A
CUSR0000SA0,2023,M09,2023 Sep,307.374,N/A
CUSR0000SA0,2023,M10,2023 Oct,307.653,N/A
CUSR0000SA0,2023,M11,2023 Nov,308.087,N/A
CUSR0000SA0,2023,M12,2023 Dec,308.735,N/A
CUSR0000SA0,2024,M01,2024 Jan,309.794,N/A
CUSR0000SA0,2024,M02,2024 Feb,311.022,N/A
CUSR0000SA0,2024,M03,2024 Mar,312.107,N/A
CUSR0000SA0,2024,M04,2024 Apr,313.016,N/A
CUSR0000SA0,2024,M05,2024 May,313.140,N/A
CUSR0000SA0,2024,M06,2024 Jun,313.131,N/A
CUSR0000SA0,2024,M07,2024 Jul,313.566,N/A
CUSR0000SA0,2024,M08,2024 Aug,314.131,N/A
CUSR0000SA0,2024,M09,2024 Sep,314.851,N/A
CUSR0000SA0,2024,M10,2024 Oct,315.564,N/A
CUSR0000SA0,2024,M11,2024 Nov,316.449,N/A
CUSR0000SA0,2024,M12,2024 Dec,317.603,N/A
CUSR0000SA0,2025,M01,2025 Jan,319.086,N/A
