Series ID,Year,Period,Label,Value,1-Month Net Change
LNS12000000,2015,M01,2015 Jan,148145,530
LNS12000000,2015,M02,2015 Feb,148045,-100
LNS12000000,2015,M03,2015 Mar,148128,83
LNS12000000,2015,M04,2015 Apr,148511,383
LNS12000000,2015,M05,2015 May,148817,306
LNS12000000,2015,M06,2015 Jun,148816,-1
LNS12000000,2015,M07,2015 Jul,148830,14
LNS12000000,2015,M08,2015 Aug,149181,351
LNS12000000,2015,M09,2015 Sep,148826,-355
LNS12000000,2015,M10,2015 Oct,149246,420
LNS12000000,2015,M11,2015 Nov,149463,217
LNS12000000,2015,M12,2015 Dec,150128,665
LNS12000000,2016,M01,2016 Jan,150653,525
LNS12000000,2016,M02,2016 Feb,150939,286
LNS12000000,2016,M03,2016 Mar,151218,279
LNS12000000,2016,M04,2016 Apr,151074,-144
LNS12000000,2016,M05,2016 May,151132,58
LNS12000000,2016,M06,2016 Jun,151223,91
LNS12000000,2016,M07,2016 Jul,151554,331
LNS12000000,2016,M08,2016 Aug,151779,225
LNS12000000,2016,M09,2016 Sep,151761,-18
LNS12000000,2016,M10,2016 Oct,151793,32
LNS12000000,2016,M11,2016 Nov,151954,161
LNS12000000,2016,M12,2016 Dec,152157,203
LNS12000000,2017,M01,2017 Jan,152152,-5
LNS12000000,2017,M02,2017 Feb,152480,328
LNS12000000,2017,M03,2017 Mar,153065,585
LNS12000000,2017,M04,2017 Apr,153255,190
LNS12000000,2017,M05,2017 May,153069,-186
LNS12000000,2017,M06,2017 Jun,153318,249
LNS12000000,2017,M07,2017 Jul,153569,251
LNS12000000,2017,M08,2017 Aug,153503,-66
LNS12000000,2017,M09,2017 Sep,154286,783
LNS12000000,2017,M10,2017 Oct,153609,-677
LNS12000000,2017,M11,2017 Nov,153805,196
LNS12000000,2017,M12,2017 Dec,153904,99
LNS12000000,2018,M01,2018 Jan,154425,521
LNS12000000,2018,M02,2018 Feb,155197,772
LNS12000000,2018,M03,2018 Mar,155214,17
LNS12000000,2018,M04,2018 Apr,155312,98
LNS12000000,2018,M05,2018 May,155652,340
LNS12000000,2018,M06,2018 Jun,155762,110
LNS12000000,2018,M07,2018 Jul,156146,384
LNS12000000,2018,M08,2018 Aug,155504,-642
LNS12000000,2018,M09,2018 Sep,156015,511
LNS12000000,2018,M10,2018 Oct,156391,376
LNS12000000,2018,M11,2018 Nov,156721,330
LNS12000000,2018,M12,2018 Dec,156817,96
LNS12000000,2019,M01,2019 Jan,156487,-330
LNS12000000,2019,M02,2019 Feb,156863,376
LNS12000000,2019,M03,2019 Mar,156701,-162
LNS12000000,2019,M04,2019 Apr,156625,-76
LNS12000000,2019,M05,2019 May,156821,196
LNS12000000,2019,M06,2019 Jun,157232,411
LNS12000000,2019,M07,2019 Jul,157529,297
LNS12000000,2019,M08,2019 Aug,157829,300
LNS12000000,2019,M09,2019 Sep,158339,510
LNS12000000,2019,M10,2019 Oct,158545,206
LNS12000000,2019,M11,2019 Nov,158629,84
LNS12000000,2019,M12,2019 Dec,158845,216
LNS12000000,2020,M01,2020 Jan,158508,-337
LNS12000000,2020,M02,2020 Feb,158714,206
LNS12000000,2020,M03,2020 Mar,155353,-3361
LNS12000000,2020,M04,2020 Apr,133185,-22168
LNS12000000,2020,M05,2020 May,137173,3988
LNS12000000,2020,M06,2020 Jun,142342,5169
LNS12000000,2020,M07,2020 Jul,143779,1437
LNS12000000,2020,M08,2020 Aug,147245,3466
LNS12000000,2020,M09,2020 Sep,147620,375
LNS12000000,2020,M10,2020 Oct,149931,2311
LNS12000000,2020,M11,2020 Nov,149934,3
LNS12000000,2020,M12,2020 Dec,149975,41
LNS12000000,2021,M01,2021 Jan,149852,-123
LNS12000000,2021,M02,2021 Feb,150189,337
LNS12000000,2021,M03,2021 Mar,150644,455
LNS12000000,2021,M04,2021 Apr,151081,437
LNS12000000,2021,M05,2021 May,151535,454
LNS12000000,2021,M06,2021 Jun,151734,199
LNS12000000,2021,M07,2021 Jul,152773,1039
LNS12000000,2021,M08,2021 Aug,153250,477
LNS12000000,2021,M09,2021 Sep,153843,593
LNS12000000,2021,M10,2021 Oct,154475,632
LNS12000000,2021,M11,2021 Nov,155530,1055
LNS12000000,2021,M12,2021 Dec,156099,569
LNS12000000,2022,M01,2022 Jan,157115,1016
LNS12000000,2022,M02,2022 Feb,157598,483
LNS12000000,2022,M03,2022 Mar,158206,608
LNS12000000,2022,M04,2022 Apr,157891,-315
LNS12000000,2022,M05,2022 May,158378,487
LNS12000000,2022,M06,2022 Jun,158094,-284
LNS12000000,2022,M07,2022 Jul,158258,164
LNS12000000,2022,M08,2022 Aug,158735,477
LNS12000000,2022,M09,2022 Sep,158810,75
LNS12000000,2022,M10,2022 Oct,158684,-126
LNS12000000,2022,M11,2022 Nov,158507,-177
LNS12000000,2022,M12,2022 Dec,159259,752
LNS12000000,2023,M01,2023 Jan,160217,958
LNS12000000,2023,M02,2023 Feb,160395,178
LNS12000000,2023,M03,2023 Mar,160812,417
LNS12000000,2023,M04,2023 Apr,160974,162
LNS12000000,2023,M05,2023 May,160796,-178
LNS12000000,2023,M06,2023 Jun,160979,183
